TailNum,sum(Distance)
N314,1221
N470AA,1220
N303AW,1219
N941SW,1217
N575AA,1217
N950AS,1216
N623AS,1215
N532AU,1213
N288A1,1213
N944DL,1210
N751SK,1210
N16807,1209
N413US,1209
N24736,1208
N427US,1206
N443US,1205
N275AA,1205
N905DA,1205
N5CXAA,1205
N640AA,1205
N5CFAA,1205
N264AU,1204
N285WN,1204
N964DL,1203
N809UA,1201
N759DA,1199
N668DN,1199
N17337,1198
N776AU,1198
N12569,1197
N870AA,1197
N373AA,1197
N5CHAA,1197
N3ABAA,1197
N242US,1197
N540AA,1197
N3CEA1,1197
N641UA,1197
N302WA,1195
N724EV,1195
N807CA,1194
N859AA,1192
N519DA,1191
N4TXAA,1189
N274AA,1189
N076AA,1189
N082AA,1189
N328DL,1185
N6700,1185
N546JB,1185
N251AA,1182
N952U,1182
N561AA,1182
N501A1,1182
N207AA,1181
N366NW,1181
N757LV,1175
N327NW,1175
N942FR,1174
-N804M,1173
N7251U,1172
N915UA,1172
N508AA,1172
N452AA,1172
N716A1,1172
N485A1,1171
N5EDAA,1171
N242WA,1167
N403WN,1166
N14516,1165
N329DL,1165
N124DE,1157
N616,1156
N819US,1155
N917UA,1155
N784AU,1154
N979SW,1152
N959DL,1146
N4XUAA,1144
N698,1142
N328NW,1142
N886AA,1139
N308US,1139
N678,1136
N210,1136
N985US,1135
N604,1132
N203US,1127
N380,1126
N318US,1123
N290US,1123
N915DL,1122
N923DL,1121
N304DL,1121
N718AA,1121
N237WA,1121
N1AUAA,1121
-N307D,1121
-N312D,1121
N651DL,1121
N104UW,1120
N957N,1120
N327DL,1119
N16918,1119
N404AA,1119
N967N,1118
N566A1,1118
N33637,1117
N302,1115
N675MC,1115
N958U,1113
N878AS,1111
N507AU,1109
N977AS,1107
N446AA,1107
N947AS,1107
N675AW,1107
N585AS,1107
N484WN,1101
N432,1099
N786NC,1098
N408UA,1097
N504UA,1097
N533AA,1095
N8978E,1093
N312DL,1093
N637AE,1092
N18350,1091
N9402W,1090
N523DA,1090
N059AA,1090
N525AU,1089
N962DL,1087
N83873,1086
-N979D,1086
N672AE,1085
N522US,1085
N329NW,1085
N965CA,1084
N14173,1081
N994Z,1081
N990DL,1080
N846AE,1080
N34110,1080
N402DA,1076
N611NA,1076
N481AA,1076
N5DXAA,1076
N5DUAA,1076
N5TJAA,1076
N534JB,1074
N252AU,1073
N497WN,1073
N522DA,1070
N919DE,1069
N544JB,1069
N966DL,1069
N941DL,1068
N24343,1068
N802US,1068
N205AA,1068
N538AA,1068
N501BG,1068
N95,1065
N919AT,1065
N13881,1065
N321DL,1065
N14118,1065
N32404,1065
N503JB,1065
N940UA,1064
N581AA,1062
N278AA,1062
N17326,1062
N570AA,1062
N469UA,1062
N950U,1056
-N9627,1056
N922AT,1055
N105,1054
N339US,1052
N777NC,1051
N447SW,1051
N8878Z,1050
N647,1050
N958AS,1050
N483,1050
N617AS,1050
N4YSAA,1046
N5BSAA,1045
N063A1,1045
N388,1044
N13123,1043
N37228,1041
N450A1,1041
N610NW,1041
N858US,1040
N628,1039
N925VJ,1038
N438,1037
N69351,1036
N636DL,1035
N989DL,1035
N936DL,1035
N123DN,1035
N899AT,1035
N77204,1034
N797,1034
N21154,1034
N947DL,1033
N689,1031
N67171,1028
N579JB,1028
N335NW,1028
-N912D,1027
N650MQ,1026
N58545,1025
N348UA,1024
N937MC,1024
N14231,1024
N780,1023
N938CA,1021
87949E,1021
N504AE,1021
N317US,1020
N505,1020
N669,1019
N526,1015
N885AA,1013
N732SK,1013
N6713Y,1011
N7279U,1010
N14816,1009
N73270,1009
N651AW,1009
N331AW,1009
N624AS,1009
N832AW,1009
N637AW,1009
N350NW,1008
N926RC,1008
N357NW,1008
N434UA,1007
N665UA,1005
N624AA,1005
N5CAAA,1005
N3771K,1005
N905DE,1005
80399E,1005
N464SW,1004
N310,1003
N2AFAA,1001
N324,1000
N2AJA1,999
N664MS,999
N857US,998
N527DA,996
N490UA,994
N399UA,992
N442US,992
N627AU,992
N319NB,991
N411WN,989
N139DL,988
N308WA,988
N901DA,988
N15820,987
N312,987
N514AA,987
N43537,986
N76354,986
N14337,986
N2822W,985
N525AA,984
N19623,984
-N123D,984
N3CRAA,984
N5FCAA,984
N767NC,983
N349NB,981
N54345,979
N949DL,978
N435AA,978
N609AS,978
N920DE,972
N412SW,972
N307DL,972
N528JB,972
N649PP,971
N535UA,967
N196UA,967
N623,967
N526UA,967
N920FR,967
N551UA,967
N187UW,966
N990AT,965
N69803,965
N72405,965
N14890,964
N512AA,964
N871AA,964
N3DCAA,964
N321US,963
